first_name,known_name,second_name,web_name
Lorenzo,,Lucca,Lucca
Luca,,Netz,Netz
Anthony,,Patterson,Patterson
Simon,,Moore,Moore
Blondy,,Nna Noukeu,Nna Noukeu
Daniel,,Ballard,Ballard
Trai,,Hume,Hume
Aji,,Alese,Alese
Joe,,Anderson,Anderson
Dennis,,Cirkin,Cirkin
Leo Fuhr,,Hjelde,Hjelde
Niall,,Huggins,Huggins
Zak,,Johnson,Johnson
Luke,,O'Nien,O'Nien
Timothée,,Pembélé,Pembele
Reinildo,Reinildo Mandava,Mandava,Reinildo
Jenson,,Seelt,Seelt
Simon,,Adingra,Adingra
Habib,,Diarra,Diarra
Patrick,,Roberts,Roberts
Milan,,Aleksić,Aleksić
Enzo,,Le Fée,E.Le Fée
Romaine,,Mundle,Mundle
Dan,,Neil,Neil
Ian,,Poveda-Ocampo,Poveda
Chris,,Rigg,Rigg
Noah,,Sadiki,Sadiki
Chemsdine,,Talbi,Talbi
Abdoullah,,Ba,Ba
Alan,,Browne,Browne
Pierre,,Ekwah Elimby,Ekwah
Harrison,Harrison Jones,Jones,H.Jones
Jay,,Matete,Matete
Nectarios,,Triantis,Triantis
Wilson,,Isidor,Isidor
Eliezer,,Mayenda Dossou,Mayenda
Ahmed,,Abdullahi,Abdullahi
Luís Hemir,,Silva Semedo,Luís Hemir
Nazarii,,Rusyn,Rusyn
Granit,,Xhaka,Xhaka
Robin,,Roefs,Roefs
Arthur,,Masuaku,Masuaku
Omar,,Alderete,Alderete
Nordi,,Mukiele,Mukiele
Lutsharel,,Geertruida,Geertruida
Brian,,Brobbey,Brobbey
Bertrand,Bertrand Traoré,Traoré,Traoré
Jenson,Jenson Jones,Jones,Jenson Jones
Tymur,,Tutierov,Tutierov
Djiamgone Jocelin Ta,,Bi,Jocelin.T
Melker,,Ellborg,Ellborg
Nilson,,Angulo,Angulo
Guglielmo,,Vicario,Vicario
Brandon,,Austin,Austin
Antonín,,Kinský,Kinsky
Pedro,,Porro Sauceda,Pedro Porro
Cristian,,Romero,Romero
Kevin,,Danso,Danso
Ben,,Davies,Davies
Radu,,Drăgușin,Dragusin
Djed,,Spence,Spence
Destiny,,Udogie,Udogie
Micky,,van de Ven,Van de Ven
Ashley,,Phillips,Phillips
Takai,,Kōta,Takai
Luka,,Vušković,Vuskovic
Son,,Heung-min,Son
James,,Maddison,Maddison
Mohammed,,Kudus,Kudus
Dejan,,Kulusevski,Kulusevski
Mathys,,Tel,Tel
Rodrigo,,Bentancur,Bentancur
Lucas,,Bergvall,Bergvall
Yves,,Bissouma,Bissouma
Wilson,,Odobert,Odobert
Manor,,Solomon,Solomon
Bryan,,Gil Salvatierra,Bryan
Archie,,Gray,Gray
Mikey,,Moore,Moore
Pape Matar,Pape Matar Sarr,Sarr,P.M.Sarr
Yang,,Min-hyeok,Min-hyeok
Callum,,Olusesi,Olusesi
Dominic,,Solanke-Mitchell,Solanke
Richarlison,Richarlison,de Andrade,Richarlison
Will,,Lankshear,Lankshear
Dane,,Scarlett,Scarlett
João Maria,João Palhinha,Lobo Alves Palhares Costa Palhinha Gonçalves,J.Palhinha
Xavi,,Simons,Xavi
Randal,,Kolo Muani,Kolo Muani
Jun'ai,,Byfield,Byfield
James,,Rowswell,Rowswell
Yusuf,,Akhamrich,Akhamrich
Lucá,,Williams-Barnett,Williams-Barnett
Conor,,Gallagher,Gallagher
João Victor,Souza,de Souza Menezes,Souza
Rio,,Kyerematen,Kyerematen
James,,Wilson,Wilson
Adama,,Traoré Diarra,Adama
Alphonse,,Areola,Areola
Wes,,Foderingham,Foderingham
Krisztián,,Hegyi,Hegyi
El Hadji Malick,El Hadji Malick Diouf,Diouf,Diouf
Emerson,,Palmieri dos Santos,Emerson
Maximilian,,Kilman,Kilman
Konstantinos,,Mavropanos,Mavropanos
Nayef,,Aguerd,N.Aguerd
Ollie,,Scarles,Scarles
Jean-Clair,,Todibo,Todibo
Aaron,,Wan-Bissaka,Wan-Bissaka
Kaelan,,Casey,Casey
Lucas,,Tolentino Coelho de Lima,L.Paquetá
Tomáš,,Souček,Souček
Crysencio,,Summerville,Summerville
Edson,,Álvarez Velázquez,Álvarez
Maxwel,,Cornet,Cornet
Guido,,Rodríguez,G.Rodriguez
Luis Guilherme,,Lira dos Santos,L.Guilherme
George,,Earthy,Earthy
Andy,,Irving,Irving
Lewis,,Orford,Orford
Freddie,,Potts,Potts
Jarrod,,Bowen,Bowen
Niclas,,Füllkrug,Füllkrug
Callum,,Marshall,Marshall
Kyle,,Walker-Peters,Walker-Peters
Callum,,Wilson,Wilson
Mads,,Hermansen,Hermansen
